,regional_geocode,geocode
1154,31065,3133303
1155,31001,3139003
1156,31068,3122355
1157,31093,3123403
1158,31016,3168309
1159,31036,3127503
1160,31040,3127370
1161,31024,3167202
1162,31057,3128907
1163,31002,3143005
1164,31016,3157807
1165,31036,3127701
1166,31003,3121100
1167,31025,3149309
1168,31007,3165578
1169,31091,3129707
1170,31017,3140704
1171,31017,3108107
1172,31044,3158409
1173,31079,3137908
1174,31002,3144102
1175,31096,3126802
1176,31016,3142304
1177,31022,3146107
1178,31092,3126307
1179,31078,3135407
1180,31048,3172004
1181,31017,3109006
1182,31017,3124104
1183,31017,3162922
1184,31007,3165800
1185,31021,3132800
1186,31047,3139805
1187,31042,3125309
1188,22003,2209872
1189,31076,3142254
1190,31085,3144656
1191,31059,3140902
1192,31021,3161908
1193,31059,3168051
1194,31023,3136207
1195,31052,3140852
1196,31023,3144706
1197,31036,3165503
1198,31084,3127354
1199,31042,3145877
1200,31084,3142007
1201,31059,3131208
1202,31059,3138674
1203,31090,3147808
1204,31038,3141504
1205,31052,3145059
1206,31073,3131406
1207,31051,3127800
1208,31042,3124203
1209,31083,3126604
1210,31049,3147956
1211,31085,3143450
1212,31084,3116506
1213,31044,3122900
1214,31083,3136405
1215,31085,3130655
1216,31052,3115474
1217,31050,3118809
1218,31042,3113305
1219,31053,3135209
1220,31073,3159803
1221,31044,3138005
1222,31021,3160504
1223,31059,3137700
1224,31060,3157401
1225,31055,3109402
1226,31042,3169208
1227,31057,3137106
1228,31015,3115201
1229,31082,3162104
1230,31007,3134905
1231,31007,3109105
1232,31066,3113701
1233,31059,3154150
1234,31007,3143807
1235,31097,3167509
1236,31098,3156502
1237,31041,3160009
1238,31090,3159308
1239,31047,3162906
1240,31041,3151107
1241,31048,3116704
1242,31007,3129202
1243,31091,3112406
1244,31094,3155108
1245,31006,3129905
1246,31062,3138906
1247,35041,3513504
1248,35051,3512001
1249,35102,3515152
1250,35163,3510302
1251,35151,3515608
1252,35051,3509304
1253,35104,3512704
1254,35094,3515194
1255,35062,3514502
1256,35051,3517406
1257,35131,3514601
1258,35161,3511508
1259,35083,3508207
1260,35103,3514908
1261,35112,3515129
1262,35102,3512407
1263,35111,3515806
1264,35033,3514007
1265,35092,3516101
1266,35012,3516309
1267,35012,3516408
1268,35157,3516804
1269,35133,3510906
1270,35073,3509601
1271,35174,3509700
1272,35014,3510609
1273,35072,3519071
1274,35015,3529401
1275,35121,3523305
1276,35061,3519253
1277,35101,3526704
1278,35081,3523701
1279,35094,3519501
1280,35155,3519808
1281,35022,3533205
1282,35163,3523909
1283,35102,3521408
1284,35152,3532843
1285,35114,3528700
1286,35121,3520426
1287,35154,3520707
1288,35073,3527306
1289,35131,3524303
1290,35082,3521309
1291,35111,3521606
1292,35013,3522208
1293,35023,3527256
1294,35156,3524501
1295,35151,3521903
1296,35093,3527801
1297,35052,3531506
1298,35072,3524709
1299,35014,3522505
1300,35064,3522901
1301,35011,3523107
1302,35023,3527702
1303,35014,3525003
1304,35132,3525102
1305,35071,3525508
1306,35093,3525805
1307,35163,3525854
1308,35155,3530409
1309,35172,3526605
1310,35062,3528007
1311,35091,3528908
1312,35061,3528601
1313,35153,3529104
1314,35041,3531100
1315,35031,3532058
1316,35131,3531308
1317,35072,3532009
1318,35156,3532702
1319,35072,3519055
1320,35095,3519006
1321,35092,3539707
1322,35151,3535101
1323,35081,3542701
1324,35111,3534807
1325,35065,3540101
1326,35111,3535408
1327,35091,3544707
1328,35151,3535705
1329,35153,3535903
1330,35063,3536109
1331,35081,3536307
1332,35034,3542909
1333,35153,3540259
1334,35071,3536802
1335,35072,3537107
1336,35151,3538105
1337,35172,3538501
1338,35014,3539103
1339,35062,3539400
1340,35156,3539608
1341,35031,3546900
1342,35031,3543709
1343,35041,3541000
1344,35172,3540754
1345,35156,3539905
1346,35115,3544251
1347,35161,3541653
1348,35103,3542107
1349,35112,3543238
1350,35041,3548500
1351,35153,3547205
1352,35174,3542305
1353,35062,3542503
1354,35174,3548609
1355,35015,3543303
1356,35023,3548401
1357,35162,3543501
1358,35103,3544004
1359,35104,3543907
1360,35065,3544608
1361,35091,3545100
1362,35103,3545159
1363,35153,3545704
1364,35072,3545803
1365,35101,3546207
